rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss
34.0,0,34,1,38,7.227332,,,,,,
26.5,0,53,2,57,6.389179,,,,,,
28.0,0,84,3,86,7.996768666666667,,,,,,
24.5,0,98,4,99,6.89716125,,,,,,
21.4,14,107,5,7,5.206477,1.0641292333602905,594.5114227294922,120,58.93852233886719,0.03,-1.2612221240997314
19.5,28,117,6,4,3.7638075,1.4036375284194946,1066.464111328125,320,95.98155212402344,0.03,-7.415355205535889
19.714285714285715,55,138,7,2,3.7117232857142857,2.589751958847046,3695.9318115234373,740,216.34750366210938,0.03,-18.552867889404297
18.75,70,150,8,2,3.11516925,3.3456101417541504,272.1974647521973,980,79.34740447998047,0.03,7.947149276733398
17.555555555555557,80,158,9,1,2.518171333333333,3.399658203125,224.22035484313966,1140,56.937828063964844,0.03,7.711620330810547
16.7,92,167,10,1,2.3274888000000002,3.2365589141845703,220.57662506103514,1320,45.15888977050781,0.03,7.374538421630859
15.727272727272727,100,173,11,1,1.7857863636363638,3.0747182369232178,215.18128051757813,1440,32.760562896728516,0.03,6.025065898895264
15.083333333333334,110,181,12,1,1.4973410000000003,2.8508810997009277,215.28636322021484,1600,11.866909980773926,0.03,5.002570152282715
14.615384615384615,121,190,13,1,1.2779808461538462,2.603163480758667,215.57996826171876,1780,2.5772557258605957,0.03,4.757038116455078
14.142857142857142,131,198,14,1,0.8261374285714286,2.386990547180176,202.88104476928712,1940,-5.240935802459717,0.03,4.922863960266113
13.733333333333333,141,206,15,1,0.5915326666666668,2.1718907356262207,123.34751777648925,2100,-10.525860786437988,0.03,4.572812080383301
13.375,151,214,16,1,0.40636743750000004,1.9611687660217285,78.4106201171875,2260,-15.220951080322266,0.03,4.1142072677612305
13.352941176470589,168,227,17,1,0.5794978823529412,1.6329821348190308,50.96222915649414,2520,-18.398191452026367,0.03,3.1020524501800537
13.166666666666666,180,237,18,1,0.5480802777777778,1.4025384187698364,33.31421899795532,2720,-19.96354103088379,0.03,2.1751997470855713
13.0,193,247,19,1,0.4503723157894737,1.1949282884597778,23.20498752593994,2920,-19.567934036254883,0.03,1.1749151945114136
14.15,240,283,20,1,0.1335569,0.6421255469322205,11.697507667541505,3640,-15.418466567993164,0.03,-2.7780609130859375
17.476190476190474,348,367,21,1,-0.9508013333333333,0.18344935774803162,8.127734398841858,5320,-9.068592071533203,0.03,-6.413531303405762
20.545454545454547,460,452,22,0,-0.9864477727272726,0.0874805599451065,4.878878474235535,7020,-5.685848712921143,0.03,-0.6974706053733826
24.565217391304348,603,565,23,0,8.496688217391304,0.10328584909439087,4.745999431610107,9280,-7.949542999267578,0.03,0.9387572407722473
29.125,776,699,24,0,18.482119625,0.10974883288145065,8.181277298927307,11960,-16.4350528717041,0.03,1.2783353328704834
33.56,950,839,25,0,28.03424596,0.11513283103704453,17.03709180355072,14760,-26.897926330566406,0.03,1.118605136871338
38.73076923076923,1160,1007,26,0,38.02990857692308,0.15223176777362823,9.7967369556427,18120,-33.8474235534668,0.03,0.7889894843101501
