time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates
1,29,4.653037,565,29.0,0,,,,,,
2,46,4.593123500000001,752,23.0,0,,,,,,
3,64,3.7805223333333338,898,21.333333333333332,0,,,,,,
4,91,6.244458,1049,22.75,0,,,,,,
5,107,6.1687812,12,21.4,8,74.65404510498047,904.0415863037109,0.03,-1.7042381763458252,1.061876654624939,120
6,119,4.561121166666667,4,19.833333333333332,24,109.43708801269531,1200.9523376464845,0.03,-7.799137592315674,1.4725607633590698,360
7,141,3.3825668571428573,2,20.142857142857142,52,206.39324951171875,3543.4163818359375,0.03,-14.702546119689941,2.6883678436279297,800
8,157,3.036866625,2,19.625,74,81.35709381103516,278.6130798339844,0.03,7.388051986694336,3.3068501949310303,1120
9,164,2.1163716666666668,1,18.22222222222222,83,64.916259765625,285.70514450073244,0.03,4.199552536010742,3.236046552658081,1260
10,170,1.3424635,1,17.0,91,51.802242279052734,283.2071502685547,0.03,5.743485450744629,3.132431983947754,1380
11,177,0.7622636363636364,1,16.09090909090909,101,25.792205810546875,288.53912353515625,0.03,4.291506290435791,2.9845080375671387,1520
12,185,0.17199041666666667,1,15.416666666666666,111,13.39985466003418,369.09471740722654,0.03,4.56441593170166,2.8097119331359863,1680
13,194,-0.38076361538461534,1,14.923076923076923,123,-0.8560253977775574,382.29913330078125,0.03,5.267157554626465,2.603677988052368,1860
14,201,-0.6553859285714285,1,14.357142857142858,133,-8.487825393676758,292.4542823791504,0.03,4.891121864318848,2.432762861251831,2000
15,213,-0.6003020666666666,1,14.2,149,-12.194864273071289,197.12732467651367,0.03,4.663412094116211,2.1281843185424805,2240
16,224,-0.6069358125,1,14.0,165,-15.728507041931152,92.16830291748047,0.03,3.928882122039795,1.8499023914337158,2460
17,234,-0.7563789999999999,1,13.764705882352942,178,-17.079505920410156,55.115658378601076,0.03,3.127462863922119,1.6057441234588623,2660
18,249,-1.0155843333333334,1,13.833333333333334,199,-16.568096160888672,28.06091241836548,0.03,1.6260287761688232,1.2715814113616943,2960
19,436,-0.4912226842105264,0,22.94736842105263,444,-13.446319580078125,6.3556060791015625,0.03,-6.632451057434082,0.10575136542320251,6700
20,481,-0.9309205,0,24.05,505,-10.883956909179688,5.88964273929596,0.03,-2.5988032817840576,0.07921608537435532,7600
21,611,-0.23996666666666672,0,29.095238095238095,672,-8.119264602661133,4.188882422447205,0.03,1.3664737939834595,0.09518097341060638,10200
22,680,-1.718921409090909,0,30.90909090909091,759,-5.765772342681885,6.789298033714294,0.03,-0.45475417375564575,0.0975632295012474,11580
